DATE,NUMBER,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6
2024-01-01,265900,2,6,5,9,0,0,even,even,odd,odd,zero,zero
2024-01-02,823141,8,2,3,1,4,1,even,even,odd,odd,even,odd
2024-01-03,358882,3,5,8,8,8,2,odd,odd,even,even,even,even
2024-01-04,107873,1,0,7,8,7,3,odd,zero,odd,even,odd,odd
2024-01-05,177277,1,7,7,2,7,7,odd,odd,odd,even,odd,odd
2024-01-06,373074,3,7,3,0,7,4,odd,odd,odd,zero,odd,even
2024-01-07,933564,9,3,3,5,6,4,odd,odd,odd,odd,even,even
2024-01-08,329226,3,2,9,2,2,6,odd,even,odd,even,even,even
2024-01-09,761080,7,6,1,0,8,0,odd,even,odd,zero,even,zero
2024-01-10,197551,1,9,7,5,5,1,odd,odd,odd,odd,odd,odd
2024-01-11,174603,1,7,4,6,0,3,odd,odd,even,even,zero,odd
2024-01-12,175777,1,7,5,7,7,7,odd,odd,odd,odd,odd,odd
2024-01-13,322071,3,2,2,0,7,1,odd,even,even,zero,odd,odd
2024-01-14,668146,6,6,8,1,4,6,even,even,even,odd,even,even
2024-01-15,386468,3,8,6,4,6,8,odd,even,even,even,even,even
2024-01-16,857442,8,5,7,4,4,2,even,odd,odd,even,even,even
2024-01-17,769255,7,6,9,2,5,5,odd,even,odd,even,odd,odd
2024-01-18,544098,5,4,4,0,9,8,odd,even,even,zero,odd,even
2024-01-19,402226,4,0,2,2,2,6,even,zero,even,even,even,even
2024-01-20,707363,7,0,7,3,6,3,odd,zero,odd,odd,even,odd
2024-01-21,463774,4,6,3,7,7,4,even,even,odd,odd,odd,even
2024-01-22,689912,6,8,9,9,1,2,even,even,odd,odd,odd,even
2024-01-23,637137,6,3,7,1,3,7,even,odd,odd,odd,odd,odd
2024-01-24,224091,2,2,4,0,9,1,even,even,even,zero,odd,odd
2024-01-25,633945,6,3,3,9,4,5,even,odd,odd,odd,even,odd
2024-01-26,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-01-27,208488,2,0,8,4,8,8,even,zero,even,even,even,even
2024-01-28,220001,2,2,0,0,0,1,even,even,zero,zero,zero,odd
2024-01-29,905477,9,0,5,4,7,7,odd,zero,odd,even,odd,odd
2024-01-30,393750,3,9,3,7,5,0,odd,odd,odd,odd,odd,zero
2024-01-31,619922,6,1,9,9,2,2,even,odd,odd,odd,even,even
2024-02-01,177570,1,7,7,5,7,0,odd,odd,odd,odd,odd,zero
2024-02-02,737744,7,3,7,7,4,4,odd,odd,odd,odd,even,even
2024-02-03,525224,5,2,5,2,2,4,odd,even,odd,even,even,even
2024-02-04,350822,3,5,0,8,2,2,odd,odd,zero,even,even,even
2024-02-05,586971,5,8,6,9,7,1,odd,even,even,odd,odd,odd
2024-02-06,206642,2,0,6,6,4,2,even,zero,even,even,even,even
2024-02-07,194901,1,9,4,9,0,1,odd,odd,even,odd,zero,odd
2024-02-08,313959,3,1,3,9,5,9,odd,odd,odd,odd,odd,odd
2024-02-09,451246,4,5,1,2,4,6,even,odd,odd,even,even,even
2024-02-10,690364,6,9,0,3,6,4,even,odd,zero,odd,even,even
2024-02-11,297608,2,9,7,6,0,8,even,odd,odd,even,zero,even
2024-02-12,272099,2,7,2,0,9,9,even,odd,even,zero,odd,odd
2024-02-13,588585,5,8,8,5,8,5,odd,even,even,odd,even,odd
2024-02-14,243485,2,4,3,4,8,5,even,even,odd,even,even,odd
2024-02-15,299857,2,9,9,8,5,7,even,odd,odd,even,odd,odd
2024-02-16,504089,5,0,4,0,8,9,odd,zero,even,zero,even,odd
2024-02-17,380682,3,8,0,6,8,2,odd,even,zero,even,even,even
2024-02-18,209399,2,0,9,3,9,9,even,zero,odd,odd,odd,odd
2024-02-19,544773,5,4,4,7,7,3,odd,even,even,odd,odd,odd
2024-02-20,573087,5,7,3,0,8,7,odd,odd,odd,zero,even,odd
2024-02-21,295690,2,9,5,6,9,0,even,odd,odd,even,odd,zero
2024-02-22,329554,3,2,9,5,5,4,odd,even,odd,odd,odd,even
2024-02-23,361894,3,6,1,8,9,4,odd,even,odd,even,odd,even
2024-02-24,136339,1,3,6,3,3,9,odd,odd,even,odd,odd,odd
2024-02-25,135575,1,3,5,5,7,5,odd,odd,odd,odd,odd,odd
2024-02-26,734959,7,3,4,9,5,9,odd,odd,even,odd,odd,odd
2024-02-27,640265,6,4,0,2,6,5,even,even,zero,even,even,odd
2024-02-28,738928,7,3,8,9,2,8,odd,odd,even,odd,even,even
2024-02-29,299699,2,9,9,6,9,9,even,odd,odd,even,odd,odd
2024-03-01,889140,8,8,9,1,4,0,even,even,odd,odd,even,zero
2024-03-02,886529,8,8,6,5,2,9,even,even,even,odd,even,odd
2024-03-03,750171,7,5,0,1,7,1,odd,odd,zero,odd,odd,odd
2024-03-04,506100,5,0,6,1,0,0,odd,zero,even,odd,zero,zero
2024-03-05,959785,9,5,9,7,8,5,odd,odd,odd,odd,even,odd
2024-03-06,209861,2,0,9,8,6,1,even,zero,odd,even,even,odd
2024-03-07,649925,6,4,9,9,2,5,even,even,odd,odd,even,odd
2024-03-08,779092,7,7,9,0,9,2,odd,odd,odd,zero,odd,even
2024-03-09,594080,5,9,4,0,8,0,odd,odd,even,zero,even,zero
2024-03-10,945870,9,4,5,8,7,0,odd,even,odd,even,odd,zero
2024-03-11,420764,4,2,0,7,6,4,even,even,zero,odd,even,even
2024-03-12,243795,2,4,3,7,9,5,even,even,odd,odd,odd,odd
2024-03-13,263834,2,6,3,8,3,4,even,even,odd,even,odd,even
2024-03-14,146330,1,4,6,3,3,0,odd,even,even,odd,odd,zero
2024-03-15,928702,9,2,8,7,0,2,odd,even,even,odd,zero,even
2024-03-16,177710,1,7,7,7,1,0,odd,odd,odd,odd,odd,zero
2024-03-17,232237,2,3,2,2,3,7,even,odd,even,even,odd,odd
2024-03-18,679765,6,7,9,7,6,5,even,odd,odd,odd,even,odd
2024-03-19,519006,5,1,9,0,0,6,odd,odd,odd,zero,zero,even
2024-03-20,813150,8,1,3,1,5,0,even,odd,odd,odd,odd,zero
2024-03-21,171484,1,7,1,4,8,4,odd,odd,odd,even,even,even
2024-03-22,208934,2,0,8,9,3,4,even,zero,even,odd,odd,even
2024-03-23,640177,6,4,0,1,7,7,even,even,zero,odd,odd,odd
2024-03-24,175020,1,7,5,0,2,0,odd,odd,odd,zero,even,zero
2024-03-25,548189,5,4,8,1,8,9,odd,even,even,odd,even,odd
2024-03-26,648015,6,4,8,0,1,5,even,even,even,zero,odd,odd
2024-03-27,308797,3,0,8,7,9,7,odd,zero,even,odd,odd,odd
2024-03-28,675683,6,7,5,6,8,3,even,odd,odd,even,even,odd
2024-03-29,581618,5,8,1,6,1,8,odd,even,odd,even,odd,even
2024-03-30,160502,1,6,0,5,0,2,odd,even,zero,odd,zero,even
2024-03-31,884507,8,8,4,5,0,7,even,even,even,odd,zero,odd
2024-04-01,202833,2,0,2,8,3,3,even,zero,even,even,odd,odd
2024-04-02,161209,1,6,1,2,0,9,odd,even,odd,even,zero,odd
2024-04-03,506256,5,0,6,2,5,6,odd,zero,even,even,odd,even
2024-04-04,392107,3,9,2,1,0,7,odd,odd,even,odd,zero,odd
2024-04-05,994936,9,9,4,9,3,6,odd,odd,even,odd,odd,even
2024-04-06,918587,9,1,8,5,8,7,odd,odd,even,odd,even,odd
2024-04-07,174158,1,7,4,1,5,8,odd,odd,even,odd,odd,even
2024-04-08,644531,6,4,4,5,3,1,even,even,even,odd,odd,odd
2024-04-09,917452,9,1,7,4,5,2,odd,odd,odd,even,odd,even
2024-04-10,744948,7,4,4,9,4,8,odd,even,even,odd,even,even
2024-04-11,239751,2,3,9,7,5,1,even,odd,odd,odd,odd,odd
2024-04-12,407408,4,0,7,4,0,8,even,zero,odd,even,zero,even
2024-04-13,409399,4,0,9,3,9,9,even,zero,odd,odd,odd,odd
2024-04-14,193350,1,9,3,3,5,0,odd,odd,odd,odd,odd,zero
2024-04-15,129908,1,2,9,9,0,8,odd,even,odd,odd,zero,even
2024-04-16,107035,1,0,7,0,3,5,odd,zero,odd,zero,odd,odd
2024-04-17,239020,2,3,9,0,2,0,even,odd,odd,zero,even,zero
2024-04-18,444254,4,4,4,2,5,4,even,even,even,even,odd,even
2024-04-19,278421,2,7,8,4,2,1,even,odd,even,even,even,odd
2024-04-20,942669,9,4,2,6,6,9,odd,even,even,even,even,odd
2024-04-21,897550,8,9,7,5,5,0,even,odd,odd,odd,odd,zero
2024-04-22,650269,6,5,0,2,6,9,even,odd,zero,even,even,odd
2024-04-23,243262,2,4,3,2,6,2,even,even,odd,even,even,even
2024-04-24,500552,5,0,0,5,5,2,odd,zero,zero,odd,odd,even
2024-04-25,835041,8,3,5,0,4,1,even,odd,odd,zero,even,odd
2024-04-26,455750,4,5,5,7,5,0,even,odd,odd,odd,odd,zero
2024-04-27,856295,8,5,6,2,9,5,even,odd,even,even,odd,odd
2024-04-28,815501,8,1,5,5,0,1,even,odd,odd,odd,zero,odd
2024-04-29,479772,4,7,9,7,7,2,even,odd,odd,odd,odd,even
2024-04-30,720388,7,2,0,3,8,8,odd,even,zero,odd,even,even
2024-05-01,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-05-02,168524,1,6,8,5,2,4,odd,even,even,odd,even,even
2024-05-03,970249,9,7,0,2,4,9,odd,odd,zero,even,even,odd
2024-05-04,904183,9,0,4,1,8,3,odd,zero,even,odd,even,odd
2024-05-05,499424,4,9,9,4,2,4,even,odd,odd,even,even,even
2024-05-06,818789,8,1,8,7,8,9,even,odd,even,odd,even,odd
2024-05-07,870457,8,7,0,4,5,7,even,odd,zero,even,odd,odd
2024-05-08,606517,6,0,6,5,1,7,even,zero,even,odd,odd,odd
2024-05-09,815510,8,1,5,5,1,0,even,odd,odd,odd,odd,zero
2024-05-10,488286,4,8,8,2,8,6,even,even,even,even,even,even
2024-05-11,998730,9,9,8,7,3,0,odd,odd,even,odd,odd,zero
2024-05-12,248577,2,4,8,5,7,7,even,even,even,odd,odd,odd
2024-05-13,743663,7,4,3,6,6,3,odd,even,odd,even,even,odd
2024-05-14,758528,7,5,8,5,2,8,odd,odd,even,odd,even,even
2024-05-15,348822,3,4,8,8,2,2,odd,even,even,even,even,even
2024-05-16,450101,4,5,0,1,0,1,even,odd,zero,odd,zero,odd
2024-05-17,432775,4,3,2,7,7,5,even,odd,even,odd,odd,odd
2024-05-18,110135,1,1,0,1,3,5,odd,odd,zero,odd,odd,odd
2024-05-19,564449,5,6,4,4,4,9,odd,even,even,even,even,odd
2024-05-20,808574,8,0,8,5,7,4,even,zero,even,odd,odd,even
2024-05-21,486319,4,8,6,3,1,9,even,even,even,odd,odd,odd
2024-05-22,179242,1,7,9,2,4,2,odd,odd,odd,even,even,even
2024-05-23,549427,5,4,9,4,2,7,odd,even,odd,even,even,odd
2024-05-24,533367,5,3,3,3,6,7,odd,odd,odd,odd,even,odd
2024-05-25,692542,6,9,2,5,4,2,even,odd,even,odd,even,even
2024-05-26,592783,5,9,2,7,8,3,odd,odd,even,odd,even,odd
2024-05-27,420244,4,2,0,2,4,4,even,even,zero,even,even,even
2024-05-28,986255,9,8,6,2,5,5,odd,even,even,even,odd,odd
2024-05-29,490987,4,9,0,9,8,7,even,odd,zero,odd,even,odd
2024-05-30,879035,8,7,9,0,3,5,even,odd,odd,zero,odd,odd
2024-05-31,676585,6,7,6,5,8,5,even,odd,even,odd,even,odd
2024-06-01,915949,9,1,5,9,4,9,odd,odd,odd,odd,even,odd
2024-06-02,235952,2,3,5,9,5,2,even,odd,odd,odd,odd,even
2024-06-03,833495,8,3,3,4,9,5,even,odd,odd,even,odd,odd
2024-06-04,519665,5,1,9,6,6,5,odd,odd,odd,even,even,odd
2024-06-05,472138,4,7,2,1,3,8,even,odd,even,odd,odd,even
2024-06-06,203578,2,0,3,5,7,8,even,zero,odd,odd,odd,even
2024-06-07,585205,5,8,5,2,0,5,odd,even,odd,even,zero,odd
2024-06-08,484910,4,8,4,9,1,0,even,even,even,odd,odd,zero
2024-06-09,565734,5,6,5,7,3,4,odd,even,odd,odd,odd,even
2024-06-10,384899,3,8,4,8,9,9,odd,even,even,even,odd,odd
2024-06-11,372274,3,7,2,2,7,4,odd,odd,even,even,odd,even
2024-06-12,626574,6,2,6,5,7,4,even,even,even,odd,odd,even
2024-06-13,994542,9,9,4,5,4,2,odd,odd,even,odd,even,even
2024-06-14,579555,5,7,9,5,5,5,odd,odd,odd,odd,odd,odd
2024-06-15,860909,8,6,0,9,0,9,even,even,zero,odd,zero,odd
2024-06-16,145065,1,4,5,0,6,5,odd,even,odd,zero,even,odd
2024-06-17,861210,8,6,1,2,1,0,even,even,odd,even,odd,zero
2024-06-18,645637,6,4,5,6,3,7,even,even,odd,even,odd,odd
2024-06-19,425176,4,2,5,1,7,6,even,even,odd,odd,odd,even
2024-06-20,478754,4,7,8,7,5,4,even,odd,even,odd,odd,even
2024-06-21,578950,5,7,8,9,5,0,odd,odd,even,odd,odd,zero
2024-06-22,505251,5,0,5,2,5,1,odd,zero,odd,even,odd,odd
2024-06-23,502380,5,0,2,3,8,0,odd,zero,even,odd,even,zero
2024-06-24,600639,6,0,0,6,3,9,even,zero,zero,even,odd,odd
2024-06-25,318494,3,1,8,4,9,4,odd,odd,even,even,odd,even
2024-06-26,745885,7,4,5,8,8,5,odd,even,odd,even,even,odd
2024-06-27,575824,5,7,5,8,2,4,odd,odd,odd,even,even,even
2024-06-28,903276,9,0,3,2,7,6,odd,zero,odd,even,odd,even
2024-06-29,947440,9,4,7,4,4,0,odd,even,odd,even,even,zero
2024-06-30,585027,5,8,5,0,2,7,odd,even,odd,zero,even,odd
2024-07-01,554372,5,5,4,3,7,2,odd,odd,even,odd,odd,even
2024-07-02,252192,2,5,2,1,9,2,even,odd,even,odd,odd,even
2024-07-03,236912,2,3,6,9,1,2,even,odd,even,odd,odd,even
2024-07-04,194682,1,9,4,6,8,2,odd,odd,even,even,even,even
2024-07-05,501811,5,0,1,8,1,1,odd,zero,odd,even,odd,odd
2024-07-06,978569,9,7,8,5,6,9,odd,odd,even,odd,even,odd
2024-07-07,456729,4,5,6,7,2,9,even,odd,even,odd,even,odd
2024-07-08,918331,9,1,8,3,3,1,odd,odd,even,odd,odd,odd
2024-07-09,998954,9,9,8,9,5,4,odd,odd,even,odd,odd,even
2024-07-10,485553,4,8,5,5,5,3,even,even,odd,odd,odd,odd
2024-07-11,502904,5,0,2,9,0,4,odd,zero,even,odd,zero,even
2024-07-12,517538,5,1,7,5,3,8,odd,odd,odd,odd,odd,even
2024-07-13,785784,7,8,5,7,8,4,odd,even,odd,odd,even,even
2024-07-14,563324,5,6,3,3,2,4,odd,even,odd,odd,even,even
2024-07-15,114832,1,1,4,8,3,2,odd,odd,even,even,odd,even
2024-07-16,949878,9,4,9,8,7,8,odd,even,odd,even,odd,even
2024-07-17,230272,2,3,0,2,7,2,even,odd,zero,even,odd,even
2024-07-18,730904,7,3,0,9,0,4,odd,odd,zero,odd,zero,even
2024-07-19,901844,9,0,1,8,4,4,odd,zero,odd,even,even,even
2024-07-20,776535,7,7,6,5,3,5,odd,odd,even,odd,odd,odd
2024-07-21,307150,3,0,7,1,5,0,odd,zero,odd,odd,odd,zero
2024-07-22,930353,9,3,0,3,5,3,odd,odd,zero,odd,odd,odd
2024-07-23,118247,1,1,8,2,4,7,odd,odd,even,even,even,odd
2024-07-24,506060,5,0,6,0,6,0,odd,zero,even,zero,even,zero
2024-07-25,339801,3,3,9,8,0,1,odd,odd,odd,even,zero,odd
2024-07-26,954802,9,5,4,8,0,2,odd,odd,even,even,zero,even
2024-07-27,920716,9,2,0,7,1,6,odd,even,zero,odd,odd,even
2024-07-28,208368,2,0,8,3,6,8,even,zero,even,odd,even,even
2024-07-29,323721,3,2,3,7,2,1,odd,even,odd,odd,even,odd
2024-07-30,285478,2,8,5,4,7,8,even,even,odd,even,odd,even
2024-07-31,769524,7,6,9,5,2,4,odd,even,odd,odd,even,even
2024-08-01,128212,1,2,8,2,1,2,odd,even,even,even,odd,even
2024-08-02,377253,3,7,7,2,5,3,odd,odd,odd,even,odd,odd
2024-08-03,254528,2,5,4,5,2,8,even,odd,even,odd,even,even
2024-08-04,622939,6,2,2,9,3,9,even,even,even,odd,odd,odd
2024-08-05,724506,7,2,4,5,0,6,odd,even,even,odd,zero,even
2024-08-06,347958,3,4,7,9,5,8,odd,even,odd,odd,odd,even
2024-08-07,338038,3,3,8,0,3,8,odd,odd,even,zero,odd,even
2024-08-08,395751,3,9,5,7,5,1,odd,odd,odd,odd,odd,odd
2024-08-09,884654,8,8,4,6,5,4,even,even,even,even,odd,even
2024-08-10,336876,3,3,6,8,7,6,odd,odd,even,even,odd,even
2024-08-11,990451,9,9,0,4,5,1,odd,odd,zero,even,odd,odd
2024-08-12,389773,3,8,9,7,7,3,odd,even,odd,odd,odd,odd
2024-08-13,853246,8,5,3,2,4,6,even,odd,odd,even,even,even
2024-08-14,473769,4,7,3,7,6,9,even,odd,odd,odd,even,odd
2024-08-15,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-08-16,575974,5,7,5,9,7,4,odd,odd,odd,odd,odd,even
2024-08-17,320720,3,2,0,7,2,0,odd,even,zero,odd,even,zero
2024-08-18,486782,4,8,6,7,8,2,even,even,even,odd,even,even
2024-08-19,373000,3,7,3,0,0,0,odd,odd,odd,zero,zero,zero
2024-08-20,942404,9,4,2,4,0,4,odd,even,even,even,zero,even
2024-08-21,427542,4,2,7,5,4,2,even,even,odd,odd,even,even
2024-08-22,280026,2,8,0,0,2,6,even,even,zero,zero,even,even
2024-08-23,609915,6,0,9,9,1,5,even,zero,odd,odd,odd,odd
2024-08-24,572652,5,7,2,6,5,2,odd,odd,even,even,odd,even
2024-08-25,490210,4,9,0,2,1,0,even,odd,zero,even,odd,zero
2024-08-26,770249,7,7,0,2,4,9,odd,odd,zero,even,even,odd
2024-08-27,386415,3,8,6,4,1,5,odd,even,even,even,odd,odd
2024-08-28,188982,1,8,8,9,8,2,odd,even,even,odd,even,even
2024-08-29,602476,6,0,2,4,7,6,even,zero,even,even,odd,even
2024-08-30,134257,1,3,4,2,5,7,odd,odd,even,even,odd,odd
2024-08-31,895595,8,9,5,5,9,5,even,odd,odd,odd,odd,odd
2024-09-01,267803,2,6,7,8,0,3,even,even,odd,even,zero,odd
2024-09-02,315068,3,1,5,0,6,8,odd,odd,odd,zero,even,even
2024-09-03,848007,8,4,8,0,0,7,even,even,even,zero,zero,odd
2024-09-04,298935,2,9,8,9,3,5,even,odd,even,odd,odd,odd
2024-09-05,649722,6,4,9,7,2,2,even,even,odd,odd,even,even
2024-09-06,211295,2,1,1,2,9,5,even,odd,odd,even,odd,odd
2024-09-07,845385,8,4,5,3,8,5,even,even,odd,odd,even,odd
2024-09-08,240975,2,4,0,9,7,5,even,even,zero,odd,odd,odd
2024-09-09,181272,1,8,1,2,7,2,odd,even,odd,even,odd,even
2024-09-10,416465,4,1,6,4,6,5,even,odd,even,even,even,odd
2024-09-11,809978,8,0,9,9,7,8,even,zero,odd,odd,odd,even
2024-09-12,329312,3,2,9,3,1,2,odd,even,odd,odd,odd,even
2024-09-13,834020,8,3,4,0,2,0,even,odd,even,zero,even,zero
2024-09-14,475528,4,7,5,5,2,8,even,odd,odd,odd,even,even
2024-09-15,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-09-16,376244,3,7,6,2,4,4,odd,odd,even,even,even,even
2024-09-17,129053,1,2,9,0,5,3,odd,even,odd,zero,odd,odd
2024-09-18,706001,7,0,6,0,0,1,odd,zero,even,zero,zero,odd
2024-09-19,178754,1,7,8,7,5,4,odd,odd,even,odd,odd,even
2024-09-20,893315,8,9,3,3,1,5,even,odd,odd,odd,odd,odd
2024-09-21,644906,6,4,4,9,0,6,even,even,even,odd,zero,even
2024-09-22,637750,6,3,7,7,5,0,even,odd,odd,odd,odd,zero
2024-09-23,655547,6,5,5,5,4,7,even,odd,odd,odd,even,odd
2024-09-24,615458,6,1,5,4,5,8,even,odd,odd,even,odd,even
2024-09-25,212949,2,1,2,9,4,9,even,odd,even,odd,even,odd
2024-09-26,689904,6,8,9,9,0,4,even,even,odd,odd,zero,even
2024-09-27,948447,9,4,8,4,4,7,odd,even,even,even,even,odd
2024-09-28,345463,3,4,5,4,6,3,odd,even,odd,even,even,odd
2024-09-29,681579,6,8,1,5,7,9,even,even,odd,odd,odd,odd
2024-09-30,752253,7,5,2,2,5,3,odd,odd,even,even,odd,odd
2024-10-01,115043,1,1,5,0,4,3,odd,odd,odd,zero,even,odd
2024-10-02,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-10-03,376453,3,7,6,4,5,3,odd,odd,even,even,odd,odd
2024-10-04,506852,5,0,6,8,5,2,odd,zero,even,even,odd,even
2024-10-05,790019,7,9,0,0,1,9,odd,odd,zero,zero,odd,odd
2024-10-06,485746,4,8,5,7,4,6,even,even,odd,odd,even,even
2024-10-07,768946,7,6,8,9,4,6,odd,even,even,odd,even,even
2024-10-08,121169,1,2,1,1,6,9,odd,even,odd,odd,even,odd
2024-10-09,434222,4,3,4,2,2,2,even,odd,even,even,even,even
2024-10-10,937679,9,3,7,6,7,9,odd,odd,odd,even,odd,odd
2024-10-11,967262,9,6,7,2,6,2,odd,even,odd,even,even,even
2024-10-12,969212,9,6,9,2,1,2,odd,even,odd,even,odd,even
2024-10-13,127562,1,2,7,5,6,2,odd,even,odd,odd,even,even
2024-10-14,319632,3,1,9,6,3,2,odd,odd,odd,even,odd,even
2024-10-15,348922,3,4,8,9,2,2,odd,even,even,odd,even,even
2024-10-16,478593,4,7,8,5,9,3,even,odd,even,odd,odd,odd
2024-10-17,759965,7,5,9,9,6,5,odd,odd,odd,odd,even,odd
2024-10-18,961469,9,6,1,4,6,9,odd,even,odd,even,even,odd
2024-10-19,107065,1,0,7,0,6,5,odd,zero,odd,zero,even,odd
2024-10-20,909787,9,0,9,7,8,7,odd,zero,odd,odd,even,odd
2024-10-21,285065,2,8,5,0,6,5,even,even,odd,zero,even,odd
2024-10-22,612385,6,1,2,3,8,5,even,odd,even,odd,even,odd
2024-10-23,180542,1,8,0,5,4,2,odd,even,zero,odd,even,even
2024-10-24,566634,5,6,6,6,3,4,odd,even,even,even,odd,even
2024-10-25,336842,3,3,6,8,4,2,odd,odd,even,even,even,even
2024-10-26,819787,8,1,9,7,8,7,even,odd,odd,odd,even,odd
2024-10-27,432099,4,3,2,0,9,9,even,odd,even,zero,odd,odd
2024-10-28,537132,5,3,7,1,3,2,odd,odd,odd,odd,odd,even
2024-10-29,428899,4,2,8,8,9,9,even,even,even,even,odd,odd
2024-10-30,314374,3,1,4,3,7,4,odd,odd,even,odd,odd,even
2024-10-31,252136,2,5,2,1,3,6,even,odd,even,odd,odd,even
2024-11-01,619722,6,1,9,7,2,2,even,odd,odd,odd,even,even
2024-11-02,133089,1,3,3,0,8,9,odd,odd,odd,zero,even,odd
2024-11-03,507742,5,0,7,7,4,2,odd,zero,odd,odd,even,even
2024-11-04,281146,2,8,1,1,4,6,even,even,odd,odd,even,even
2024-11-05,770782,7,7,0,7,8,2,odd,odd,zero,odd,even,even
2024-11-06,167155,1,6,7,1,5,5,odd,even,odd,odd,odd,odd
2024-11-07,305326,3,0,5,3,2,6,odd,zero,odd,odd,even,even
2024-11-08,524074,5,2,4,0,7,4,odd,even,even,zero,odd,even
2024-11-09,506517,5,0,6,5,1,7,odd,zero,even,odd,odd,odd
2024-11-10,117579,1,1,7,5,7,9,odd,odd,odd,odd,odd,odd
2024-11-11,590871,5,9,0,8,7,1,odd,odd,zero,even,odd,odd
2024-11-12,538427,5,3,8,4,2,7,odd,odd,even,even,even,odd
2024-11-13,824838,8,2,4,8,3,8,even,even,even,even,odd,even
2024-11-14,872247,8,7,2,2,4,7,even,odd,even,even,even,odd
2024-11-15,297425,2,9,7,4,2,5,even,odd,odd,even,even,odd
2024-11-16,729245,7,2,9,2,4,5,odd,even,odd,even,even,odd
2024-11-17,759139,7,5,9,1,3,9,odd,odd,odd,odd,odd,odd
2024-11-18,826729,8,2,6,7,2,9,even,even,even,odd,even,odd
2024-11-19,227485,2,2,7,4,8,5,even,even,odd,even,even,odd
2024-11-20,429216,4,2,9,2,1,6,even,even,odd,even,odd,even
2024-11-21,592907,5,9,2,9,0,7,odd,odd,even,odd,zero,odd
2024-11-22,530165,5,3,0,1,6,5,odd,odd,zero,odd,even,odd
2024-11-23,523994,5,2,3,9,9,4,odd,even,odd,odd,odd,even
2024-11-24,260203,2,6,0,2,0,3,even,even,zero,even,zero,odd
2024-11-25,619287,6,1,9,2,8,7,even,odd,odd,even,even,odd
2024-11-26,449503,4,4,9,5,0,3,even,even,odd,odd,zero,odd
2024-11-27,574899,5,7,4,8,9,9,odd,odd,even,even,odd,odd
2024-11-28,188169,1,8,8,1,6,9,odd,even,even,odd,even,odd
2024-11-29,346563,3,4,6,5,6,3,odd,even,even,odd,even,odd
2024-11-30,429654,4,2,9,6,5,4,even,even,odd,even,odd,even
2024-12-01,506035,5,0,6,0,3,5,odd,zero,even,zero,odd,odd
2024-12-02,334811,3,3,4,8,1,1,odd,odd,even,even,odd,odd
2024-12-03,723784,7,2,3,7,8,4,odd,even,odd,odd,even,even
2024-12-04,325526,3,2,5,5,2,6,odd,even,odd,odd,even,even
2024-12-05,829065,8,2,9,0,6,5,even,even,odd,zero,even,odd
2024-12-06,710276,7,1,0,2,7,6,odd,odd,zero,even,odd,even
2024-12-07,652161,6,5,2,1,6,1,even,odd,even,odd,even,odd
2024-12-08,966347,9,6,6,3,4,7,odd,even,even,odd,even,odd
2024-12-09,819745,8,1,9,7,4,5,even,odd,odd,odd,even,odd
2024-12-10,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-12-11,701324,7,0,1,3,2,4,odd,zero,odd,odd,even,even
2024-12-12,946089,9,4,6,0,8,9,odd,even,even,zero,even,odd
2024-12-13,346716,3,4,6,7,1,6,odd,even,even,odd,odd,even
2024-12-14,998200,9,9,8,2,0,0,odd,odd,even,even,zero,zero
2024-12-15,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-12-16,545874,5,4,5,8,7,4,odd,even,odd,even,odd,even
2024-12-17,627505,6,2,7,5,0,5,even,even,odd,odd,zero,odd
2024-12-18,728408,7,2,8,4,0,8,odd,even,even,even,zero,even
2024-12-19,331110,3,3,1,1,1,0,odd,odd,odd,odd,odd,zero
2024-12-20,534565,5,3,4,5,6,5,odd,odd,even,odd,even,odd
2024-12-21,829857,8,2,9,8,5,7,even,even,odd,even,odd,odd
2024-12-22,936651,9,3,6,6,5,1,odd,odd,even,even,odd,odd
2024-12-23,283251,2,8,3,2,5,1,even,even,odd,even,odd,odd
2024-12-24,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-12-25,105427,1,0,5,4,2,7,odd,zero,odd,even,even,odd
2024-12-26,999699,9,9,9,6,9,9,odd,odd,odd,even,odd,odd
2024-12-27,648809,6,4,8,8,0,9,even,even,even,even,zero,odd
2024-12-28,174096,1,7,4,0,9,6,odd,odd,even,zero,odd,even
2024-12-29,175765,1,7,5,7,6,5,odd,odd,odd,odd,even,odd
2024-12-30,655342,6,5,5,3,4,2,even,odd,odd,odd,even,even
2024-12-31,841794,8,4,1,7,9,4,even,even,odd,odd,odd,even
